Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Stop_Name,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
1302,57407,490004037BE,BIRSTALL ROAD / SEVEN SISTERS STATION <> #,533448,188748,54,9H06,0
1306,59231,490014725N,WILTON ROAD,528419,190568,330,TR01,0
1307,73854,490014725S,WILTON ROAD,528402,190640,161,TR01,0
1308,74791,490007030N,CONSTABLE CLOSE,527572,192174,353,TQ10,0
1309,51008,490007030S,CONSTABLE CLOSE,527595,192095,173,TQ10,0
1310,76788,490007018N,FRIARY ROAD,527293,192904,318,TQ15,0
1311,74216,490007018S,FRIARY ROAD,527272,192951,148,TQ15,0
13149,55758,490001320A,WEMBLEY STADIUM STATION #,518918,185470,184,RR01,0
13150,75540,490007110S,ICKNIELD DRIVE,543762,188808,193,X701,0
13151,73994,490007110N,GANTSHILL CRESCENT,543762,188890,14,X701,0
13152,56689,490015198B,GREENFORD STATION <> #,514788,183864,205,QL03,0
13156,53546,490008350W1,HORNIMAN MUSEUM,534746,173068,285,2R05,0
13158,77142,490008337W,HONOR OAK ROAD,535073,173056,299,2R04,0
13161,48628,490001112B,FOREST HILL STATION # / LONDON ROAD,535304,172944,118,2R03,0
13167,53229,490006259S,DUNRAVEN SCHOOL,530576,172296,137,4V04,0
13168,58677,490013999S,LEIGHAM COURT ROAD / VALLEY ROAD,531019,172095,122,4V05,0
13169,58493,490013999N,VALLEY ROAD,530819,172154,285,4V05,0
13170,54551,490011620N,ROCKHAMPTON ROAD,531177,171863,352,4R04,0
13171,72854,490008590N,JULIAN'S PRIMARY SCHOOL,531171,171544,357,4R03,0
13174,48641,490003153W,ALBERT CARR GARDENS,530214,171014,249,4U13,0
13175,72678,490013998W,VALLEY ROAD,530581,171033,278,4V01,0
13176,56882,490014984W,THE ROOKERY,530788,171015,258,4V02,0
13178,55399,490009077E,LEIGHAM COURT ROAD,531137,171088,103,4V03,0
13179,75745,490009077W,STREATHAM COMMON NORTH / LEIGHAM CRT RD,531262,171049,280,4V03,0
13180,54642,490003153E,ALBERT CARR GARDENS,530227,171034,64,4U13,0
13181,50945,490013998E,VALLEY ROAD,530465,171055,94,4V01,0
13182,73625,490013536E,THE ROOKERY,530881,171048,74,4V02,0
13184,53198,490015314W,CROWN POINT,531684,171002,283,4Q02,0
13186,52936,490010452W2,TIVOLI ROAD,532126,170995,273,4Q16,0
13188,55282,490011876W,SALTER'S HILL,532577,171027,273,4Q18,0
13189,75610,490015338N,HERMITAGE ROAD,532804,170909,306,4Q19,0
13190,76958,490015346N,ROCKMOUNT ROAD,532983,170765,324,4Q20,0
13193,75154,490007430S,GRECIAN CRESCENT,531762,170746,187,HR02,0
13194,48026,490005559N,CONVENT HILL,532110,170530,288,HR04,0
13196,76144,490015337N,HERMITAGE ROAD,532333,170391,313,HR05,0
13197,71113,490015337S,HERMITAGE ROAD,532460,170315,116,HR05,0
13201,71214,490013929S,UPPER BEULAH HILL,533010,169916,122,HR07,0
13202,74387,490013929N,UPPER BEULAH HILL,533062,169832,333,HR07,0
13203,48083,490003242S,BEULAH HILL / ALL SAINTS CHURCH,533114,169731,157,HR08,0
13204,47074,490003242N,SOUTH NORWOOD HILL / ALL SAINTS CHURCH,533164,169518,347,HR08,0
13206,51248,490007344N,GRANGE AVENUE,533215,169377,328,HS17,0
13207,49423,490007344S,GRANGE AVENUE,533194,169437,163,HS17,0
13208,72543,490014227N,WHARNCLIFFE GARDENS,533311,169233,319,HS16,0
13209,58441,490014227S,WHARNCLIFFE GARDENS,533289,169283,147,HS16,0
13210,47594,490008410N,HOWDEN ROAD,533500,169043,324,HS15,0
13211,57667,490008410S,HOWDEN ROAD,533598,168929,145,HS14,0
13214,73145,490006512N,ELM PARK ROAD,533731,168746,314,HS13,0
13215,72429,490006512S,ELM PARK ROAD,533761,168732,134,HS13,0
13216,58533,490012551H,STANLEY HALL,533939,168554,312,HS11,0
13217,48362,490012551K,STANLEY HALL,533964,168542,132,HS11,0
13220,48200,490003992N,BIGGIN HILL,531864,170581,282,HR03,0
13221,47918,490003992S,BIGGIN HILL,531960,170574,102,HR03,0
13222,53732,490014510G,WESTOW HILL,533646,170639,216,4Q01,0
13223,73805,490014511N,WESTOW PARK,533481,170349,25,HR11,0
13224,71134,490014511S,WESTOW PARK,533460,170285,206,HR11,0
13227,71322,490013136E,SYLVAN HILL,533360,170096,26,HR10,0
13228,76131,490013136S,SYLVAN HILL,533333,170021,206,HR10,0
13229,50007,490015128E,ALL SAINTS CHURCH,533207,169777,25,HR09,0
1323,76716,490015554C,REDBRIDGE STATION <>,541853,188314,262,X902,0
13231,57852,490015128S,ALL SAINTS CHURCH,533189,169720,206,HR09,0
13233,75253,490014601S,NUGENT ROAD,533512,168927,210,HS14,0
13234,58480,490014621N,WHITWORTH ROAD,533409,168774,30,HS19,0
13235,50527,490014621S,WHITWORTH ROAD,533365,168673,209,HS19,0
13236,75817,490010818N,SELHURST PARK STADIUM,533292,168559,28,HS18,0
13237,48276,490010818S,SELHURST PARK STADIUM,533214,168422,233,HS18,0
13238,71250,490005424E,CLIFTON ROAD,533030,168366,67,HQ06,0
13239,75402,490005424R,CLIFTON ROAD,532892,168297,246,HQ06,0
13246,49050,490005847N,MORVAL ROAD,531104,174756,345,4.00E+29,0
13247,77342,490012810S,ST MATTHEWS ESTATE,531073,174927,166,4.00E+17,0
13249,47369,490009933W,MILTON ROAD,531580,174491,119,4.00E+15,0
1325,71159,490000085H,CLARENCE AVENUE,543180,188415,272,X712,0
13250,73171,490004402W,BROCKWELL LIDO,531641,174446,295,4.00E+16,0
13251,71632,490004402P,BROCKWELL LIDO,531740,174408,117,4.00E+16,0
13255,76278,490011701N,ROSENDALE ROAD,532003,173942,27,4L13,0
13256,72819,490011701S,ROSENDALE ROAD,531951,173834,217,4L13,0
13258,47966,490006058N,DERONDA ROAD,531790,173424,356,4M05,0
13259,77206,490006058S,DERONDA ROAD,531803,173357,186,4M05,0
13260,77926,490013656B,THURLOW PARK ROAD,531744,173160,21,4M04,0
13262,50560,490008927J,LANCASTER AVENUE,531785,172613,339,4Q10,0
13263,49782,490014508H,ELMCOURT ROAD,531774,172679,161,4Q11,0
13266,50360,490008927L,LANCASTER AVENUE,531875,172462,161,4Q10,0
13270,47581,490011611E,ROBSON ROAD,532200,172303,75,4Q13,0
13271,56099,490011611W,ROBSON ROAD,532188,172291,255,4Q13,0
13272,48079,490009700E,MARTELL ROAD,532514,172411,49,4Q14,0
13273,76225,490009700W,MARTELL ROAD,532473,172371,241,4Q14,0
13275,77185,490010451J,NORWOOD ROAD,532093,174076,276,4L14,0
13277,54518,490005850N,CROXTED CLOSE,532267,173842,317,4M12,0
13278,73420,490007592S,GUERNSEY GROVE,532171,174007,163,4M12,0
13279,55275,490013847N,TURNEY ROAD,532377,173717,317,4M11,0
13280,48527,490013847S,TURNEY ROAD,532444,173633,152,4M11,0
13283,53678,490011293N,PYMERS MEAD,532516,173329,341,4M10,0
13284,57722,490011293S,PYMERS MEAD,532519,173350,161,4M10,0
13286,58727,490014447E,WESTERN ROAD,531349,175685,135,4F05,0
13287,72137,490015389E,BRIXTON STATION ROAD,531511,175521,126,4.00E+19,0
13288,71225,490015389W,MOORLAND ROAD,531620,175516,235,4.00E+19,0
13289,48794,490012036E,SHAKESPEARE ROAD,531794,175644,60,4.00E+18,0
1329,52360,490008762S,KINGSBURY ROAD,521446,188772,147,R106,0
13290,75810,490012036W,SHAKESPEARE ROAD,531792,175629,240,4.00E+18,0
13297,72492,490014004Y,VALMAR ROAD,532491,176452,13,3P08,0
13298,50607,490014004X,VALMAR ROAD,532505,176464,205,3P08,0
133,47958,490000048CV,TURNHAM GREEN CHURCH,520480,178494,273,NG06,0
1330,52653,490008762N,KINGSBURY ROAD,521496,188683,320,R106,0
1331,49543,490000082FJ,FINCHLEY ROAD STATION <>,526373,184628,148,8B01,0
13317,51602,490008590S,JULIAN'S PRIMARY SCHOOL,531185,171678,186,4R04,0
13319,49618,490014789S,LEIGHAM COURT ROAD / STREATHAM COMMON,531204,171119,191,4R02,0
13322,56634,490013686E,TIVOLI ROAD,531990,171003,87,4Q16,0
13323,76816,490010452W1,NORWOOD SCHOOL,532303,171005,88,4Q17,0
13324,50870,490011876S,SALTER'S HILL,532635,171035,98,4Q18,0
13325,51463,490015338S,HERMITAGE ROAD,532825,170908,126,4Q19,0
13326,55999,490015346S,ROCKMOUNT ROAD,533058,170711,121,4Q20,0
13329,54487,490008611N,KELLETT ROAD,531347,175163,337,4.00E+07,0
1333,52968,490012613S,BARNET ODEON,525546,195735,140,TM10,0
13330,74681,490011879S,KELLETT ROAD,531322,175254,159,4.00E+07,0
13332,59069,490006454S,EFFRA PARADE,531539,174907,135,4.00E+08,0
13335,77013,490011508N,REGENT ROAD,531834,174567,320,4.00E+09,0
13336,71436,490011508S,REGENT ROAD,531820,174597,141,4.00E+09,0
13339,48384,490012754N,ST JULIAN'S FARM ROAD,531874,171832,355,4Q05,0
1334,73975,490003640N,BARNET ODEON,525562,195700,320,TM10,0
13340,54773,490011726S,ROTHSCHILD STREET,531887,171694,187,4Q05,0
13343,52129,490012969N,WEST NORWOOD FIRE STATION,531851,171492,7,4Q04,0
13346,74914,490012969S,WEST NORWOOD FIRE STATION,531856,171465,187,4Q04,0
13347,75411,490005840N,CROWN POINT / KNIGHTS HILL,531802,171038,10,4Q03,0
13352,73178,490007193S,GIPSY ROAD,532141,171666,158,4Q23,0
13353,74451,490007193N,GIPSY ROAD,532192,171522,337,4Q23,0
13354,47882,490010449N,NORWOOD PARK,532340,171164,338,4Q25,0
13355,49178,490006693S,EYLEWOOD ROAD,532274,171346,157,4Q24,0
13356,56892,490010449S,NORWOOD PARK,532397,171073,152,4Q25,0
13357,59143,490013027N,DEEPDENE ROAD,532669,175387,24,3Q02,0
1336,50553,490004314S,GREEN STREET,535175,197283,182,UM04,0
13360,76742,490006992N,FRANKFURT ROAD,532363,174854,40,3Q04,0
13362,53024,490014184S,SOUTHSIDE SHOPPING CENTRE,525676,174525,185,5N11,0
13363,57891,490009183N,LINGS COPPICE,532709,172821,336,4Q31,0
13364,53191,490009183S,LINGS COPPICE,532756,172756,154,4Q31,0
13365,51046,490008459S,ILDERSLY GROVE,532815,172576,165,4Q30,0
13366,53319,490010774N,PARK HALL ROAD,532826,172477,350,4Q30,0
13367,58765,490012270N,SOUTH CROXTED ROAD,532868,172266,349,4Q29,0
13368,55094,490010774S,PARK HALL ROAD,532867,172326,169,4Q29,0
13369,47855,490005246N,CHURCH APPROACH,532930,171974,347,4Q28,0
13370,77425,490005246S,CHURCH APPROACH,532913,172098,169,4Q28,0
13371,76917,490003233N,ALLEYN ROAD,532963,171845,342,4Q27,0
13372,73221,490003233S,SOUTH CROXTED ROAD,532961,171886,164,4Q27,0
13373,51460,490016646S,GIPSY HILL,533125,171708,110,4Q26,0
13374,56076,490007190W,GIPSY HILL,533188,171611,270,4Q26,0
13377,50939,490008839SE,DULWICH WOOD PARK / KINGSWOOD DRIVE,533465,171525,128,3T06,0
13378,71622,490005494N,CRYSTAL PALACE PARADE / COLLEGE ROAD,533830,171148,21,3T03,0
13379,57755,490005494S2,CRYSTAL PALACE PARADE / COLLEGE ROAD,533833,171106,201,3T03,0
13380,49801,490006526A,ELSIE ROAD,533584,175359,245,3R04,0
13384,50315,490006232N2,DULWICH LIBRARY,533955,173912,328,3S08,0
13387,54928,490010671N,OVERHILL ROAD,534167,173575,304,3S06,0
13388,57565,490010671S,OVERHILL ROAD,534238,173549,125,3S06,0
13389,58140,490007586N,GROVE TAVERN,534339,173422,320,3S07,0
1339,76824,490009136D,LEYTON HIGH ROAD / LEYTON STATION <>,538203,186245,55,YL03,0
13390,76548,490007586S,GROVE TAVERN,534363,173413,140,3S07,0
13392,75417,490004973H1,CHAMPION HILL,532702,175958,332,3P12,0
13393,52185,490004973S,CHAMPION HILL,532766,175731,187,3P12,0
13396,53332,490004092N,BLANCHEDOWNE,532736,175637,8,3Q01,0
13397,58116,490004092S,BLANCHEDOWNE,532729,175512,196,3Q01,0
13398,53952,490013027S,DEEPDENE ROAD,532667,175350,207,3Q02,0
13399,58661,490006992S,FRANKFURT ROAD,532409,174895,205,3Q04,0
134,50706,490013848DD,TURNHAM GREEN CHURCH,520555,178504,93,NG06,0
13400,71846,490008294S,HOLLINGBOURNE ROAD,532260,174719,232,3Q05,0
13401,56952,490012877S,ST PAUL'S CHURCH,532118,174586,221,3Q06,0
13402,53685,490011810E,RUSKIN WALK,532316,174379,81,3Q07,0
13403,54614,490011810W,RUSKIN WALK,532407,174384,261,3Q07,0
13405,72489,490003757E,BECKWITH ROAD,532688,174442,86,3Q08,0
13406,47414,490003757W,BECKWITH ROAD,532710,174432,266,3Q08,0
1341,59102,490008392F,HOUNSLOW BUS STATION,514449,175957,67,N717,0
13410,76413,490013755N,TOWNLEY ROAD,533173,174652,45,3R01,0
13411,52376,490013755S,TOWNLEY ROAD,533256,174732,211,3R01,0
13418,72536,490006092S,ARNHEM WHARF PRIMARY SCHOOL,537211,179113,176,BM06,0
13420,77922,490008669W,KENTON LIBRARY,517044,189560,252,SB02,0
13422,76358,490003697E,BAWTRY ROAD,527743,193362,123,TQ07,0
13423,54234,490003697W,BAWTRY ROAD,527707,193372,304,TQ07,0
13424,56828,490007715S,HAMPDEN WAY,528658,194255,219,TP03,0
13425,49789,490007715E,HAMPDEN SQUARE,528584,194219,63,TP03,0
13426,55604,490012535N,ST ANDREW'S CHURCH,542647,187709,328,X912,0
13427,56302,490012535S,ST ANDREW'S CHURCH,542688,187662,148,X912,0
13428,77589,490001176N,LEE STATION #,539983,174078,345,2G01,0
13429,52396,490001176B,LEE STATION #,539966,174202,168,2G01,0
13430,73966,490001029B,BLACKHEATH STATION #,539652,175980,353,2B01,0
1344,53768,490015441F,DURANTS ROAD,535266,196289,178,UQ02,0
13447,75408,490015201K,PARHAM DRIVE,543402,188418,104,X706,0
13448,56017,490015201L,GANTS HILL STATION <>,543458,188371,283,X706,0
13449,52663,490015199B,GANTS HILL STATION <> / WOODFORD AVENUE,543206,188524,314,X708,0
13450,53140,490000085A,GANTS HILL STATION <>/ WOODFORD AVENUE,543236,188538,135,X708,0
13451,73863,490000004G,OSBORN STREET,534112,181500,232,B901,0
13453,50918,490012524M,STAMFORD HILL BROADWAY,533655,187735,4,DB03,0
13454,58515,490007625T,SHOREDITCH CHURCH,533429,182754,181,D115,0
13456,72104,490000138K,LIVERPOOL STREET STATION <> #,533275,181561,207,1G01,0
13457,76465,490011679E,ROSEBERY AVENUE,531103,182023,69,8005,0
13458,52291,490011679W,ROSEBERY AVENUE,531116,182012,249,8005,0
13459,72354,490007901E,HATTON GARDEN,531321,182052,82,8004,0
13460,56700,490007901D,HATTON GARDEN,531298,182034,262,8004,0
13463,47889,490012745J,ST JOHN STREET,531650,182114,77,C403,0
13464,52323,490005391K,CLERKENWELL GREEN,531526,182072,256,C403,0
13466,51691,490012745W,CLERKENWELL ROAD / ST JOHN STREET,531835,182119,250,C404,0
13467,54475,490007327E,GOSWELL ROAD,531936,182182,60,C305,0
13469,52745,490004936E,CENTRAL STREET,532136,182284,59,C307,0
13472,51952,490012769W,ST LUKE'S MUSIC EDUCATION CENTRE,532356,182370,249,C501,0
13473,56749,490003657E,ST LUKE'S MUSIC EDUCATION CENTRE,532418,182405,72,C501,0
13474,76087,490015194G,BUNHILL ROW,532613,182441,258,C502,0
13475,55867,490015194F,OLD STREET STATION <> #,532678,182470,78,C502,0
13476,71142,490000169L,OLD STREET STATION <> #,532870,182515,248,C607,0
13477,55459,490000169K,SHOREDITCH FIRE STATION,532867,182538,67,C607,0
13484,54814,490006463G,ELDER STREET,533517,182125,319,B005,0
13485,51764,490006463H,ELDER STREET,533565,182089,140,B005,0
13488,57174,490006883N,SHOREDITCH HIGH STREET STATION #,533638,181977,326,B004,0
13489,54550,490010584S,FOLGATE STREET,533677,181943,147,B004,0
13490,52630,490010584N,BRUSHFIELD STREET,533687,181751,357,B003,0
13492,50670,490009259E,LOLESWORTH CLOSE,533735,181624,331,B002,0
13493,57045,490009259S,LOLESWORTH CLOSE,533768,181586,151,B002,0
13494,52999,490000004N,ALDGATE EAST STATION <>,533856,181395,330,B001,0
13495,50125,490019414S,ALDGATE EAST STATION <>,533865,181411,150,B001,0
13506,50592,490006090E,KINGSLAND HIGH STREET,533495,184783,83,D409,0
13507,55747,490000106A,HENDON CENTRAL STATION <>,523018,188600,77,T616,0
13510,75439,490007662N,HALCOT AVENUE,549612,174858,5,EC14,0
13517,51790,490007047E,BRUNSWICK ROAD,538475,181099,72,BJ10,0
13521,57635,490015329E,BAIRD ROAD,534468,196279,96,UJ08,0
13522,77947,490007258C,GLYN ROAD,535154,196230,98,UQ01,0
13523,55299,490006576B,ENFIELD BUS GARAGE / SOUTHBURY STATION #,534987,196227,274,UQ07,0
13525,56978,490007258D,GLYN ROAD,535138,196216,277,UQ01,0
1353,57444,40004402017A,TOWN LANE,506068,172628,68,AZ05,0
13532,57342,490005015R,CHARLTON VILLAGE,541618,177878,78,GU04,0
13533,58193,490005007P,CHARLTON CHURCH LANE,541469,177732,188,GU03,0
13535,52570,490004065BK,VANBRUGH PARK / STRATHEDEN ROAD,540256,177263,278,GJ02,0
13536,48833,490004065BA,BLACKHEATH / ROYAL STANDARD,540314,177335,3,GJ01,0
1354,51641,40004402017B,TOWN LANE,506005,172569,247,AZ06,0
13548,73354,490008100N,HERONWOOD HOSPITAL,540431,189257,19,XE01,0
1355,48538,490007289H,GOODMAYES LANE,546454,187023,269,XT09,0
13550,75679,490010677W2,OXFORD AVENUE,509632,176969,82,P808,0
13551,56004,490010677W1,OXFORD AVENUE,509458,176921,263,P807,0
13553,73105,490006829E,FIELD VIEW,508811,171846,71,N114,0
13554,47509,490006829W,FIELD VIEW,508760,171822,252,N114,0
13557,73472,490015200C,GANTS HILL STATION <>,543401,188518,57,X703,0
13558,71238,490015200E,GANTS HILL STATION <>,543430,188516,239,X703,0
1356,77110,490007289G,GOODMAYES LANE,546263,187006,70,XT09,0
1357,56327,490003224E,ALGAR COURT,513898,169582,128,MF03,0
13572,48237,40004405145C,BRACONDALE,514084,163981,85,ZX43,0
136,75459,490012961N,LYNCROFT GARDENS,525422,185538,310,8B06,0
13605,75522,490012886S,ST PETERS CHURCH,531151,171958,141,4R05,0
13606,71055,490011718S,ROSS ROAD,533430,169135,134,HS15,0
1361,72151,490007424O,BOSTON MANOR ROAD,517121,177901,58,N901,0
13614,74393,490007978N,DARLING ROW,534962,182052,20,B503,0
13619,48965,490015133N,BALLS POND ROAD,532964,184785,354,CE07,0
13622,55250,490013058N,SHERWOOD GARDENS,534657,178247,47,3K07,0
13623,58825,490013058S,SHERWOOD GARDENS,534599,178175,225,3K07,0
13626,52998,490005603E,CORBETTS LANE,535256,178685,67,3A06,0
13627,54005,490005603W,CORBETTS LANE,535197,178650,244,3A06,0
1363,52992,490007179E,GILLETTE CORNER,516156,177355,77,NC01,0
13638,72735,490004655N,BUSH ROAD,535811,178714,342,3A04,0
13644,75041,490006792E,FENDALL STREET,533502,179166,117,3G05,0
13647,48408,490003275E,ALSCOT ROAD,533784,178952,128,3H07,0
13648,58000,490003275W,ALSCOT ROAD,533769,178941,306,3H07,0
13649,51637,490003533E,HARRIS ACADEMY,534005,178859,87,3H06,0
13650,53681,490011538W,REVERDY ROAD,534116,178849,277,3H06,0
1366,72718,490014037W,VICARAGE FARM ROAD,512401,176514,257,N414,0
13660,47019,490009482N,LYNTON ROAD,534800,178590,325,3H05,0
13661,56501,490006266NA,DUNTON ROAD / OLD KENT ROAD,533598,178503,37,3J11,0
13663,47266,490009480N,LYNTON ROAD,533730,178731,25,3H09,0
13665,71728,490009307N,LONGFIELD ESTATE,533790,178858,23,3H08,0
13666,75782,490009307S,LONGFIELD ESTATE,533782,178819,205,3H09,0
13668,52763,490000229L,SURREY QUAYS STATION #,535746,178974,237,3911,0
1368,75493,490008925W,LAMPTON ROAD,513742,176828,257,N411,0
13698,58176,490008572N,JOHN SILKIN LANE,535859,178452,334,2006,0
13699,48303,490003241S,ALLOA ROAD,535924,178352,151,2005,0
137,51342,490012961S,LYNCROFT GARDENS,525465,185527,125,8B06,0
13700,49734,490003241N,ALLOA ROAD,535954,178279,331,2005,0
13701,59040,490007534N,GRINSTEAD ROAD,536019,178087,349,2004,0
13702,77654,490007534S,GRINSTEAD ROAD,536023,178119,169,2004,0
13703,71156,490013039N,SURREY CANAL ROAD,536070,177895,337,2211,0
13714,53692,490000155W,NEW CROSS STATION #,536826,177029,281,2110,0
13715,53490,490000155V,NEW CROSS STATION #,536816,177048,105,2110,0
13718,75925,490007024Q,FRIENDLY STREET,537343,176760,330,2106,0
13720,71147,490005696N,CRANBROOK ROAD,537470,176535,325,2301,0
13721,59043,490005696S,CRANBROOK ROAD,537519,176487,144,2301,0
13723,75278,490006652N,ETHEROW STREET,534022,174097,24,3S12,0
13726,49404,490007293S,GOODRICH ROAD,534084,174227,203,3S13,0
13730,49538,490013900N,UNDERHILL ROAD,534254,174648,23,3R14,0
13731,54362,490013918N,UPLAND ROAD,534377,174942,22,3R15,0
13732,71080,490013918S,UPLAND ROAD,534340,174835,203,3R15,0
13734,48129,490010885S2,BARRY ROAD / PECKHAM RYE,534434,175061,203,3R16,0
13736,50488,490010885N,PECKHAM RYE / BARRY ROAD,534445,175163,355,3R16,0
13739,49126,490007032S,FRIERN ROAD,534554,174926,153,3R18,0
1374,74783,490007129N,GARSTON LANE,533172,159734,314,H803,0
13740,56680,490007032N,FRIERN ROAD,534588,174834,336,3R18,0
13741,72051,490006264S,DUNSTANS ROAD,534761,174520,139,3S19,0
13742,74632,490006264N,DUNSTANS ROAD,534692,174583,329,3S19,0
13743,72786,490006921S,FOREST HILL TAVERN,534931,174324,139,3S18,0
13744,48857,490014911S,WOOD VALE / FOREST HILL ROAD,535024,174095,221,3S16,0
13749,72988,490010490W,OAKHURST GROVE,534141,175385,249,3R06,0
1375,50944,490007129S,GARSTON LANE,533165,159755,135,H803,0
13750,50925,490008807W,EAST DULWICH ROAD / PECKHAM RYE,534355,175465,260,3R07,0
13752,77578,490010886E,PECKHAM RYE COMMON,534483,175518,71,3R13,0
13753,48180,490010886W,PECKHAM RYE / NUNHEAD LANE,534554,175491,314,3N11,0
13759,51802,490012957W,STUART ROAD,535285,175039,314,3N14,0
1376,55456,490006377SD,MANOR ROAD / NORTH SHEEN STATION #,519067,175038,83,M815,0
13760,49463,490012957E,STUART ROAD,535314,175028,133,3N14,0
13761,50232,490013043W,SURREY ROAD,535515,174852,306,3N15,0
13762,48892,490013043E,SURREY ROAD,535544,174845,130,3N15,0
13764,50237,490014117N,WAITE STREET,533815,177962,358,3J09,0
13765,59255,490014117S,WAITE STREET,533829,177868,176,3J09,0
13766,57546,490012709N,ST GEORGE'S WAY,533828,177649,1,3L08,0
13767,58138,490012709S,ST GEORGE'S WAY,533839,177602,177,3L08,0
13768,53348,490015073N,BIRD IN BUSH ROAD,534046,177327,338,3L07,0
13769,72809,490015073S,BIRD IN BUSH ROAD,534041,177364,157,3L07,0
13770,51437,490005525N1,COMMERCIAL WAY,534115,177138,340,3L02,0
13771,56502,490005525S1,COMMERCIAL WAY,534098,177213,160,3L06,0
13772,75180,490004140N,BONAR ROAD,534172,176986,339,3L01,0
13773,74389,490004140S,BONAR ROAD,534162,177042,160,3L02,0
13774,74829,490010880NG,PECKHAM PARK ROAD / OLD KENT ROAD,534392,177694,24,3L05,0
13777,72762,490004027N,BIRD IN BUSH ROAD,534321,177534,23,3L04,0
13778,50812,490004027S,BIRD IN BUSH ROAD,534305,177465,199,3L04,0
1378,50086,490008187F,PARK PARADE,521858,183331,313,RF09,0
13780,72359,490001223U,PECKHAM RYE STATION #,534221,176372,332,3M09,0
13781,72706,490001223V,PECKHAM RYE STATION #,534291,176253,153,3M09,0
13782,58027,490008037X,HEATON ROAD,534380,176049,320,3R09,0
13784,57012,490004773E,CARDEN ROAD,534648,175596,59,3N10,0
13785,58411,490004773W,CARDEN ROAD,534679,175603,238,3N10,0
13786,55261,490009174E,LINDEN GROVE,534867,175727,77,3M10,0
13787,77753,490010457S,NUNHEAD GREEN,534953,175799,217,3M10,0
13788,56182,490003656E,BARSET ROAD,535038,175902,58,3M11,0
13789,48611,490003656S,BARSET ROAD,535094,175933,230,3M11,0
13794,75188,4.90E+10,INVERTON ROAD,535782,175026,49,3N16,0
13795,74130,490008493W,INVERTON ROAD,535732,174971,229,3N16,0
13796,74748,490003855N,BELLWOOD ROAD,535852,175154,5,3N17,0
13798,58440,490009165N,LIMESFORD ROAD,535789,175373,333,3N18,0
13799,56695,490009165S,LIMESFORD ROAD,535788,175394,153,3N18,0
1380,74993,490010792C,PARK PARADE,521882,183445,59,RF04,0
13802,74362,490010876N,PECKHAM 7TH DAY ADVENTIST CHURCH,535642,175682,335,3N19,0
13803,73140,490010876S,PECKHAM 7TH DAY ADVENTIST CHURCH,535631,175726,155,3N19,0
13804,52187,490008526N,IVYDALE ROAD / LINDEN GROVE,535566,175841,335,3N20,0
13805,74378,490008526S,IVYDALE ROAD / LINDEN GROVE,535552,175892,155,3N20,0
1381,73182,490010792D,PARK PARADE,521941,183466,253,RF04,0
13810,77187,490002035A,ELVERSON ROAD,537693,176276,332,2302,0
13811,74695,490002035B,ELVERSON ROAD,537732,176214,165,2302,0
13815,47538,490009890S,MILLER HOUSE,537670,177052,227,GL10,0
13819,53506,490001123P,GREENWICH STATION # [DLR],538026,177268,247,GM06,0
1382,76064,490007803W,HARLESDEN JUBILEE CLOCK,521603,183221,153,RF11,0
13821,72705,490001123L,GREENWICH STATION # [DLR],538191,177353,226,GM03,0
13823,49387,490007513K,GREENWICH HIGH ROAD / ROYAL HILL,538274,177447,209,GM02,0
13824,76866,490013764S,TRAFALGAR ESTATE,538833,177925,69,GR05,0
13825,73632,490013764T,TRAFALGAR ESTATE,538781,177888,241,GR05,0
13826,76554,490009754K,TRAFALGAR ROAD / MAZE HILL,539063,178033,57,GR04,0
13827,54372,490009754G,TRAFALGAR ROAD / MAZE HILL,538977,177972,243,GR04,0
13828,54243,490005231K,KING WILLIAM LANE,539217,178122,62,GR03,0
13829,77102,490005224L,TYLER STREET,539353,178166,249,GR02,0
1383,76830,490004901N,CEARN WAY,530603,159485,336,H615,0
13830,77832,490004081J,TYLER STREET,539393,178199,62,GR01,0
13831,55831,490010892C,PELTON ROAD,539458,178290,6,GR06,0
13834,48615,490005982S,CHRIST CHURCH PRIMARY SCHOOL,539494,178453,195,GR06,0
1384,50273,490004901S,CEARN WAY,530635,159442,155,H615,0
13841,54510,490010027O,MORDEN WHARF ROAD,539267,179213,316,GR09,0
13848,52492,490006455E,EGERTON DRIVE,537805,176774,98,GL06,0
1385,71409,490003079R,ACTON LANE,521610,183177,333,RF11,0
13851,58917,490006455N,EGERTON DRIVE,537735,176773,282,GL11,0
13852,71940,490014126L,WALDRAM PARK ROAD,535601,173060,58,2N04,0
13856,49715,490014126W,WALDRAM PARK ROAD,535754,173139,239,2N05,0
13859,52859,490006920E,FOREST HILL FIRE STATION,535886,173294,87,2N07,0
1386,52417,490014690T,WILLESDEN COUNTY COURT,521576,183322,121,RF02,0
13862,56148,490004396N,BROCKLEY PARK,536118,173522,358,2M06,0
13863,59099,490005716S,BROCKLEY RISE / CRANSTON ROAD,536149,173357,183,2N08,0
13864,71069,490006242HL,DUNCOMBE HILL,536130,173795,26,2M05,0
13865,55585,490004396S,BROCKLEY PARK,536127,173599,177,2M06,0
13869,55345,490004399H,BROCKLEY RISE / CHANDOS,536207,173958,196,2M03,0
1387,73392,490014690S,WILLESDEN COUNTY COURT,521551,183317,278,RF02,0
