exif_make	exif_model	exif_lens_make	exif_lens_model	exif_lens_id	camera_slug	lens_slug
Apple	iPhone XR				apple-iphone-xr	zz
Apple	iPhone X	Apple	iPhone X back dual camera 6mm f/2.4	iPhone X back dual camera 6mm f/2.4	apple-iphone-x	apple-iphone-x-6mm-f-2-4
Apple	iPhone X	Apple	iPhone X back dual camera 4mm f/1.8	iPhone X back dual camera 4mm f/1.8	apple-iphone-x	apple-iphone-x-4mm-f-1-8
Apple	iPhone 5	Apple	iPhone 5 back camera 4.12mm f/2.4	iPhone 5 back camera 4.12mm f/2.4	apple-iphone-5	apple-iphone-5-4-12mm-f-2-4
Apple	iPhone 15 Pro		iPhone 15 Pro front camera 2.69mm f/1.9	iPhone 15 Pro front camera 2.69mm f/1.9	apple-iphone-15-pro	iphone-15-pro-front-camera-2-69mm-f-1-9
Apple	iPhone 13 Pro		iPhone 13 Pro back camera 1.57mm f/1.8	iPhone 13 Pro back camera 1.57mm f/1.8	apple-iphone-13-pro	iphone-13-pro-1-57mm-f-1-8
Apple	iPhone 12 mini		iPhone 12 mini front camera 2.71mm f/2.2	iPhone 12 mini front camera 2.71mm f/2.2	apple-iphone-12-mini	iphone-12-mini-front-camera-2-71mm-f-2-2
	Canon EOS 7D				canon-eos-7d	zz
	Canon EOS 5D Mark II				canon-eos-5d-mark-ii	zz
		Apple	iPhone 5s back camera 4.12mm f/2.2	iPhone 5s back camera 4.12mm f/2.2	zz	apple-iphone-5s-4-12mm-f-2-2
		Apple	iPad mini 2 front camera 2.15mm f/2.4	iPad mini 2 front camera 2.15mm f/2.4	zz	apple-ipad-mini-2-front-camera-2-15mm-f-2-4
				EF24-105mm f/4L IS USM	zz	ef24-105mm-f-4l-is-usm
				1 0	zz	1-0
LGE	LG-H815				lg-h815	zz
SAMSUNG	SAMSUNG-SM-G900A				samsung-sm-g900a	zz
HTC	HTC_One				htc-_one	zz
asus	ASUS_AI2302				asus-zenfone-10	zz
		Helios	Helios-44-2 58mm f/2		zz	helios-44-2-58mm-f-2
		SAMSUNG	SAMSUNG-12mm		zz	samsung-12mm
